0 7 2 5468.75
1 7 2 5468.75
2 7 2 5468.75
3 7 6 5468.75
4 12 14 292.969
5 7 2 5468.75
6 7 2 5468.75
7 7 2 5468.75
8 12 14 292.969
9 12 14 292.969
10 7 2 5468.75
11 7 12 5468.75
12 7 2 5468.75
13 7 2 5468.75
14 7 2 5468.75
15 7 4 5468.75
16 7 4 5468.75
17 12 14 292.969
18 7 2 5468.75
19 7 2 5468.75
20 7 2 5468.75
21 7 2 5468.75
22 7 4 5468.75
23 7 2 5468.75
24 7 2 5468.75
25 7 2 5468.75
26 7 2 5468.75
27 7 2 5468.75
28 7 2 5468.75
29 7 2 5468.75
30 10 14 976.562
31 7 2 5468.75
32 8 14 3125
33 7 10 5468.75
34 12 14 292.969
35 12 14 292.969
36 12 14 292.969
37 7 12 5468.75
38 7 14 5468.75
39 12 14 292.969
40 10 14 976.562
41 9 14 1757.81
42 7 14 5468.75
43 12 14 292.969
44 9 14 1757.81
45 7 2 5468.75
46 7 2 5468.75
47 7 2 5468.75
48 7 8 5468.75
49 12 14 292.969
50 12 14 292.969
51 10 14 976.562
52 12 14 292.969
53 12 14 292.969
54 12 14 292.969
55 12 14 292.969
56 12 14 292.969
57 11 14 537.109
58 12 14 292.969
59 7 14 5468.75
