0 7 14 5468.75
1 7 2 5468.75
2 7 8 5468.75
3 7 2 5468.75
4 8 14 3125
5 7 6 5468.75
6 8 14 3125
7 7 2 5468.75
8 7 12 5468.75
9 7 10 5468.75
10 12 14 292.969
11 7 8 5468.75
12 7 14 5468.75
13 7 2 5468.75
14 7 12 5468.75
15 7 6 5468.75
16 7 14 5468.75
17 7 12 5468.75
18 7 2 5468.75
19 12 14 292.969
20 7 2 5468.75
21 12 14 292.969
22 9 14 1757.81
23 12 14 292.969
24 12 14 292.969
25 8 14 3125
26 12 14 292.969
27 7 12 5468.75
28 12 14 292.969
29 10 14 976.562
30 12 14 292.969
31 7 2 5468.75
32 7 14 5468.75
33 7 8 5468.75
34 9 14 1757.81
35 7 12 5468.75
36 7 14 5468.75
37 12 14 292.969
38 7 12 5468.75
39 12 14 292.969
40 7 2 5468.75
41 12 14 292.969
42 10 14 976.562
43 12 14 292.969
44 7 12 5468.75
45 7 2 5468.75
46 12 14 292.969
47 7 14 5468.75
48 7 2 5468.75
49 8 14 3125
50 8 14 3125
51 12 14 292.969
52 7 2 5468.75
53 7 2 5468.75
54 7 2 5468.75
55 7 10 5468.75
56 7 2 5468.75
57 7 10 5468.75
58 7 4 5468.75
59 10 14 976.562
