0 7 14 5468.75
1 7 2 5468.75
2 12 14 292.969
3 7 12 5468.75
4 7 14 5468.75
5 7 12 5468.75
6 11 14 537.109
7 7 12 5468.75
8 7 14 5468.75
9 7 2 5468.75
10 7 12 5468.75
11 7 14 5468.75
12 7 10 5468.75
13 7 12 5468.75
14 12 14 292.969
15 7 12 5468.75
16 8 14 3125
17 7 2 5468.75
18 9 14 1757.81
19 7 2 5468.75
20 12 14 292.969
21 8 14 3125
22 7 12 5468.75
23 7 10 5468.75
24 9 14 1757.81
25 7 2 5468.75
26 12 14 292.969
27 7 2 5468.75
28 7 14 5468.75
29 9 14 1757.81
30 7 2 5468.75
31 7 12 5468.75
32 7 6 5468.75
33 7 2 5468.75
34 7 14 5468.75
35 7 2 5468.75
36 7 2 5468.75
37 7 14 5468.75
38 7 2 5468.75
39 9 14 1757.81
40 8 14 3125
41 7 14 5468.75
42 7 14 5468.75
43 7 2 5468.75
44 7 14 5468.75
45 9 14 1757.81
46 7 14 5468.75
47 10 14 976.562
48 7 12 5468.75
49 7 2 5468.75
