0 7 14 5468.75
1 12 14 292.969
2 11 14 537.109
3 12 14 292.969
4 7 12 5468.75
5 12 14 292.969
6 12 14 292.969
7 12 14 292.969
8 7 6 5468.75
9 12 14 292.969
10 12 14 292.969
11 8 14 3125
12 8 14 3125
13 7 14 5468.75
14 7 12 5468.75
15 12 14 292.969
16 12 14 292.969
17 10 14 976.562
18 7 14 5468.75
19 7 2 5468.75
20 12 14 292.969
21 7 12 5468.75
22 7 2 5468.75
23 7 12 5468.75
24 8 14 3125
25 7 4 5468.75
26 7 8 5468.75
27 9 14 1757.81
28 7 10 5468.75
29 12 14 292.969
30 7 6 5468.75
31 10 14 976.562
32 9 14 1757.81
33 12 14 292.969
34 11 14 537.109
35 7 14 5468.75
36 7 8 5468.75
37 7 10 5468.75
38 7 12 5468.75
39 7 2 5468.75
40 12 14 292.969
41 12 14 292.969
42 7 14 5468.75
43 8 14 3125
44 12 14 292.969
45 7 12 5468.75
46 7 2 5468.75
47 7 12 5468.75
48 9 14 1757.81
49 7 14 5468.75
50 12 14 292.969
51 7 2 5468.75
52 7 6 5468.75
53 7 12 5468.75
54 7 2 5468.75
55 7 14 5468.75
56 7 2 5468.75
57 9 14 1757.81
58 7 14 5468.75
59 12 14 292.969
