0 7 14 5468.75
1 10 14 976.562
2 12 14 292.969
3 12 14 292.969
4 12 14 292.969
5 10 14 976.562
6 12 14 292.969
7 12 14 292.969
8 12 14 292.969
9 12 14 292.969
10 12 14 292.969
11 12 14 292.969
12 12 14 292.969
13 10 14 976.562
14 12 14 292.969
15 8 14 3125
16 12 14 292.969
17 12 14 292.969
18 12 14 292.969
19 12 14 292.969
20 12 14 292.969
21 12 14 292.969
22 12 14 292.969
23 12 14 292.969
24 12 14 292.969
25 11 14 537.109
26 12 14 292.969
27 7 14 5468.75
28 12 14 292.969
29 8 14 3125
30 12 14 292.969
31 12 14 292.969
32 12 14 292.969
33 7 4 5468.75
34 12 14 292.969
35 9 14 1757.81
36 9 14 1757.81
37 12 14 292.969
38 8 14 3125
39 12 14 292.969
40 7 14 5468.75
41 8 14 3125
42 7 10 5468.75
43 7 8 5468.75
44 12 14 292.969
45 12 14 292.969
46 8 14 3125
47 7 14 5468.75
48 12 14 292.969
49 12 14 292.969
50 9 14 1757.81
51 8 14 3125
52 7 12 5468.75
53 12 14 292.969
54 7 14 5468.75
55 7 2 5468.75
56 7 4 5468.75
57 7 10 5468.75
58 8 14 3125
59 12 14 292.969
