0 7 14 5468.75
1 12 14 292.969
2 8 14 3125
3 7 12 5468.75
4 7 2 5468.75
5 8 14 3125
6 7 2 5468.75
7 7 14 5468.75
8 7 10 5468.75
9 7 10 5468.75
10 12 14 292.969
11 8 14 3125
12 8 14 3125
13 12 14 292.969
14 7 14 5468.75
15 12 14 292.969
16 7 10 5468.75
17 12 14 292.969
18 8 14 3125
19 7 10 5468.75
20 7 2 5468.75
21 7 14 5468.75
22 8 14 3125
23 7 2 5468.75
24 7 14 5468.75
25 7 14 5468.75
26 7 10 5468.75
27 8 14 3125
28 7 6 5468.75
29 7 2 5468.75
30 7 14 5468.75
31 7 2 5468.75
32 7 2 5468.75
33 7 2 5468.75
34 7 8 5468.75
35 7 2 5468.75
36 7 2 5468.75
37 7 6 5468.75
38 8 14 3125
39 8 14 3125
40 7 2 5468.75
41 7 14 5468.75
42 7 2 5468.75
43 7 2 5468.75
44 7 4 5468.75
45 7 2 5468.75
46 7 6 5468.75
47 7 14 5468.75
48 7 2 5468.75
49 7 2 5468.75
