0 7 14 5468.75
1 7 12 5468.75
2 10 14 976.562
3 7 2 5468.75
4 12 14 292.969
5 12 14 292.969
6 7 2 5468.75
7 12 14 292.969
8 9 14 1757.81
9 12 14 292.969
10 10 14 976.562
11 8 14 3125
12 9 14 1757.81
13 8 14 3125
14 7 2 5468.75
15 7 14 5468.75
16 9 14 1757.81
17 10 14 976.562
18 8 14 3125
19 10 14 976.562
20 10 14 976.562
21 7 2 5468.75
22 7 14 5468.75
23 8 14 3125
24 11 14 537.109
25 9 14 1757.81
26 7 2 5468.75
27 7 14 5468.75
28 7 2 5468.75
29 7 2 5468.75
30 7 2 5468.75
31 7 2 5468.75
32 7 2 5468.75
33 7 2 5468.75
34 7 2 5468.75
35 7 2 5468.75
36 7 14 5468.75
37 8 14 3125
38 7 2 5468.75
39 7 2 5468.75
