0 7 14 5468.75
1 11 14 537.109
2 12 14 292.969
3 12 14 292.969
4 12 14 292.969
5 12 14 292.969
6 7 8 5468.75
7 12 14 292.969
8 10 14 976.562
9 12 14 292.969
10 12 14 292.969
11 12 14 292.969
12 7 14 5468.75
13 12 14 292.969
14 12 14 292.969
15 12 14 292.969
16 8 14 3125
17 12 14 292.969
18 12 14 292.969
19 7 2 5468.75
20 7 8 5468.75
21 12 14 292.969
22 7 2 5468.75
23 8 14 3125
24 7 4 5468.75
25 8 14 3125
26 8 14 3125
27 7 2 5468.75
28 12 14 292.969
29 9 14 1757.81
30 9 14 1757.81
31 7 4 5468.75
32 7 2 5468.75
33 8 14 3125
34 7 2 5468.75
35 7 2 5468.75
36 10 14 976.562
37 7 2 5468.75
38 8 14 3125
39 7 2 5468.75
