0 7 14 5468.75
1 9 14 1757.81
2 7 2 5468.75
3 9 14 1757.81
4 7 12 5468.75
5 12 14 292.969
6 12 14 292.969
7 7 12 5468.75
8 12 14 292.969
9 8 14 3125
10 7 2 5468.75
11 7 6 5468.75
12 12 14 292.969
13 9 14 1757.81
14 9 14 1757.81
15 7 2 5468.75
16 7 2 5468.75
17 10 14 976.562
18 7 14 5468.75
19 7 12 5468.75
20 7 2 5468.75
21 10 14 976.562
22 7 14 5468.75
23 7 2 5468.75
24 7 2 5468.75
25 9 14 1757.81
26 7 2 5468.75
27 12 14 292.969
28 7 14 5468.75
29 7 14 5468.75
30 12 14 292.969
31 7 2 5468.75
32 7 2 5468.75
33 7 2 5468.75
34 7 14 5468.75
35 7 2 5468.75
36 7 2 5468.75
37 7 2 5468.75
38 7 2 5468.75
39 7 2 5468.75
40 8 14 3125
41 7 6 5468.75
42 7 10 5468.75
43 7 2 5468.75
44 7 2 5468.75
45 7 2 5468.75
46 7 2 5468.75
47 7 14 5468.75
48 7 2 5468.75
49 7 2 5468.75
