0 7 14 5468.75
1 12 14 292.969
2 7 2 5468.75
3 7 14 5468.75
4 12 14 292.969
5 12 14 292.969
6 7 2 5468.75
7 7 8 5468.75
8 7 2 5468.75
9 7 2 5468.75
10 7 4 5468.75
11 9 14 1757.81
12 7 2 5468.75
13 7 12 5468.75
14 9 14 1757.81
15 12 14 292.969
16 7 12 5468.75
17 12 14 292.969
18 12 14 292.969
19 12 14 292.969
20 12 14 292.969
21 7 6 5468.75
22 7 6 5468.75
23 7 8 5468.75
24 7 6 5468.75
25 12 14 292.969
26 7 2 5468.75
27 7 10 5468.75
28 7 2 5468.75
29 7 8 5468.75
30 9 14 1757.81
31 7 2 5468.75
32 7 8 5468.75
33 7 8 5468.75
34 7 14 5468.75
35 7 2 5468.75
36 7 10 5468.75
37 7 6 5468.75
38 7 12 5468.75
39 12 14 292.969
40 7 2 5468.75
41 7 6 5468.75
42 7 2 5468.75
43 9 14 1757.81
44 7 2 5468.75
45 7 2 5468.75
46 12 14 292.969
47 12 14 292.969
48 7 2 5468.75
49 10 14 976.562
50 7 2 5468.75
51 8 14 3125
52 7 2 5468.75
53 7 14 5468.75
54 7 6 5468.75
55 7 2 5468.75
56 12 14 292.969
57 7 8 5468.75
58 7 8 5468.75
59 7 4 5468.75
