0 7 14 5468.75
1 12 14 292.969
2 12 14 292.969
3 12 14 292.969
4 9 14 1757.81
5 12 14 292.969
6 12 14 292.969
7 12 14 292.969
8 12 14 292.969
9 12 14 292.969
10 12 14 292.969
11 8 14 3125
12 12 14 292.969
13 12 14 292.969
14 12 14 292.969
15 7 14 5468.75
16 10 14 976.562
17 12 14 292.969
18 7 12 5468.75
19 7 14 5468.75
20 7 12 5468.75
21 11 14 537.109
22 12 14 292.969
23 12 14 292.969
24 10 14 976.562
25 12 14 292.969
26 7 14 5468.75
27 12 14 292.969
28 10 14 976.562
29 8 14 3125
30 10 14 976.562
31 8 14 3125
32 7 14 5468.75
33 7 2 5468.75
34 7 2 5468.75
35 12 14 292.969
36 12 14 292.969
37 7 2 5468.75
38 7 6 5468.75
39 7 2 5468.75
