0 7 14 5468.75
1 7 2 5468.75
2 7 6 5468.75
3 8 14 3125
4 7 2 5468.75
5 7 2 5468.75
6 7 2 5468.75
7 7 4 5468.75
8 9 14 1757.81
9 9 14 1757.81
10 7 2 5468.75
11 7 10 5468.75
12 12 14 292.969
13 7 2 5468.75
14 7 10 5468.75
15 7 12 5468.75
16 12 14 292.969
17 7 14 5468.75
18 12 14 292.969
19 8 14 3125
20 8 14 3125
21 7 8 5468.75
22 7 6 5468.75
23 7 14 5468.75
24 7 14 5468.75
25 7 14 5468.75
26 7 2 5468.75
27 7 2 5468.75
28 7 4 5468.75
29 7 14 5468.75
30 7 2 5468.75
31 7 2 5468.75
32 7 2 5468.75
33 7 2 5468.75
34 7 2 5468.75
35 7 8 5468.75
36 7 2 5468.75
37 7 2 5468.75
38 7 6 5468.75
39 7 14 5468.75
40 7 2 5468.75
41 7 2 5468.75
42 7 8 5468.75
43 7 12 5468.75
44 7 2 5468.75
45 7 2 5468.75
46 7 2 5468.75
47 7 10 5468.75
48 7 6 5468.75
49 7 10 5468.75
50 7 2 5468.75
51 7 2 5468.75
52 7 2 5468.75
53 7 2 5468.75
54 7 2 5468.75
55 7 2 5468.75
56 7 14 5468.75
57 7 2 5468.75
58 7 2 5468.75
59 9 14 1757.81
