0 7 12 5468.75
1 7 2 5468.75
2 7 12 5468.75
3 8 14 3125
4 7 2 5468.75
5 8 14 3125
6 7 2 5468.75
7 7 14 5468.75
8 7 10 5468.75
9 7 6 5468.75
10 7 12 5468.75
11 7 10 5468.75
12 7 2 5468.75
13 10 14 976.562
14 7 2 5468.75
15 11 14 537.109
16 7 2 5468.75
17 7 8 5468.75
18 7 12 5468.75
19 7 2 5468.75
20 10 14 976.562
21 7 2 5468.75
22 8 14 3125
23 12 14 292.969
24 7 2 5468.75
25 9 14 1757.81
26 7 2 5468.75
27 7 14 5468.75
28 7 2 5468.75
29 7 10 5468.75
30 7 14 5468.75
31 7 12 5468.75
32 9 14 1757.81
33 7 14 5468.75
34 8 14 3125
35 7 2 5468.75
36 7 14 5468.75
37 7 2 5468.75
38 7 14 5468.75
39 7 2 5468.75
