0 7 14 5468.75
1 7 2 5468.75
2 7 2 5468.75
3 7 14 5468.75
4 12 14 292.969
5 8 14 3125
6 12 14 292.969
7 7 6 5468.75
8 11 14 537.109
9 7 2 5468.75
10 7 8 5468.75
11 7 10 5468.75
12 12 14 292.969
13 12 14 292.969
14 12 14 292.969
15 7 2 5468.75
16 9 14 1757.81
17 12 14 292.969
18 7 14 5468.75
19 7 2 5468.75
20 7 14 5468.75
21 12 14 292.969
22 7 14 5468.75
23 7 14 5468.75
24 12 14 292.969
25 8 14 3125
26 7 14 5468.75
27 12 14 292.969
28 7 14 5468.75
29 7 12 5468.75
30 12 14 292.969
31 7 2 5468.75
32 7 2 5468.75
33 7 12 5468.75
34 9 14 1757.81
35 12 14 292.969
36 12 14 292.969
37 7 12 5468.75
38 12 14 292.969
39 7 2 5468.75
40 7 2 5468.75
41 12 14 292.969
42 7 14 5468.75
43 7 10 5468.75
44 12 14 292.969
45 7 2 5468.75
46 7 10 5468.75
47 7 10 5468.75
48 8 14 3125
49 7 4 5468.75
50 7 2 5468.75
51 10 14 976.562
52 7 14 5468.75
53 7 6 5468.75
54 7 8 5468.75
55 7 6 5468.75
56 7 10 5468.75
57 12 14 292.969
58 12 14 292.969
59 7 10 5468.75
