0 7 14 5468.75
1 7 8 5468.75
2 7 8 5468.75
3 7 14 5468.75
4 7 2 5468.75
5 7 14 5468.75
6 12 14 292.969
7 12 14 292.969
8 7 2 5468.75
9 7 2 5468.75
10 12 14 292.969
11 7 6 5468.75
12 12 14 292.969
13 12 14 292.969
14 12 14 292.969
15 12 14 292.969
16 7 2 5468.75
17 7 10 5468.75
18 7 8 5468.75
19 7 8 5468.75
20 7 2 5468.75
21 12 14 292.969
22 7 2 5468.75
23 7 10 5468.75
24 7 10 5468.75
25 7 2 5468.75
26 7 10 5468.75
27 7 2 5468.75
28 8 14 3125
29 12 14 292.969
30 7 10 5468.75
31 8 14 3125
32 7 12 5468.75
33 8 14 3125
34 7 6 5468.75
35 7 8 5468.75
36 7 2 5468.75
37 7 2 5468.75
38 7 2 5468.75
39 7 2 5468.75
40 7 6 5468.75
41 7 8 5468.75
42 7 4 5468.75
43 7 2 5468.75
44 7 2 5468.75
45 8 14 3125
46 7 4 5468.75
47 7 2 5468.75
48 7 10 5468.75
49 7 6 5468.75
