0 7 14 5468.75
1 7 2 5468.75
2 7 2 5468.75
3 7 2 5468.75
4 12 14 292.969
5 7 4 5468.75
6 7 10 5468.75
7 7 2 5468.75
8 7 2 5468.75
9 12 14 292.969
10 7 2 5468.75
11 7 2 5468.75
12 7 2 5468.75
13 9 14 1757.81
14 7 14 5468.75
15 12 14 292.969
16 12 14 292.969
17 7 2 5468.75
18 7 2 5468.75
19 7 2 5468.75
20 8 14 3125
21 7 6 5468.75
22 7 6 5468.75
23 7 2 5468.75
24 7 2 5468.75
25 8 14 3125
26 7 10 5468.75
27 7 8 5468.75
28 7 2 5468.75
29 12 14 292.969
30 7 6 5468.75
31 7 4 5468.75
32 7 8 5468.75
33 7 2 5468.75
34 7 14 5468.75
35 7 6 5468.75
36 7 14 5468.75
37 7 2 5468.75
38 7 2 5468.75
39 7 14 5468.75
40 7 6 5468.75
41 7 8 5468.75
42 7 2 5468.75
43 7 8 5468.75
44 7 4 5468.75
45 7 2 5468.75
46 7 2 5468.75
47 7 2 5468.75
48 7 2 5468.75
49 7 8 5468.75
50 7 2 5468.75
51 7 2 5468.75
52 7 2 5468.75
53 7 2 5468.75
54 7 8 5468.75
55 7 6 5468.75
56 7 2 5468.75
57 7 2 5468.75
58 8 14 3125
59 7 2 5468.75
