0 7 14 5468.75
1 7 4 5468.75
2 7 8 5468.75
3 7 2 5468.75
4 7 14 5468.75
5 7 2 5468.75
6 7 14 5468.75
7 8 14 3125
8 7 12 5468.75
9 7 4 5468.75
10 7 14 5468.75
11 7 14 5468.75
12 7 2 5468.75
13 12 14 292.969
14 7 2 5468.75
15 7 2 5468.75
16 7 4 5468.75
17 7 2 5468.75
18 7 4 5468.75
19 7 10 5468.75
20 7 4 5468.75
21 7 12 5468.75
22 7 14 5468.75
23 7 2 5468.75
24 7 10 5468.75
25 7 12 5468.75
26 7 2 5468.75
27 7 14 5468.75
28 8 14 3125
29 9 14 1757.81
30 7 12 5468.75
31 12 14 292.969
32 7 2 5468.75
33 7 2 5468.75
34 7 8 5468.75
35 7 14 5468.75
36 7 2 5468.75
37 7 2 5468.75
38 7 2 5468.75
39 7 4 5468.75
40 7 2 5468.75
41 7 2 5468.75
42 7 4 5468.75
43 7 2 5468.75
44 9 14 1757.81
45 7 4 5468.75
46 12 14 292.969
47 7 2 5468.75
48 8 14 3125
49 7 2 5468.75
50 7 2 5468.75
51 7 8 5468.75
52 7 4 5468.75
53 7 4 5468.75
54 7 2 5468.75
55 7 2 5468.75
56 7 4 5468.75
57 7 2 5468.75
58 7 2 5468.75
59 7 2 5468.75
