0 7 14 5468.75
1 8 14 3125
2 11 14 537.109
3 12 14 292.969
4 9 14 1757.81
5 9 14 1757.81
6 7 12 5468.75
7 7 14 5468.75
8 8 14 3125
9 9 14 1757.81
10 12 14 292.969
11 10 14 976.562
12 7 14 5468.75
13 10 14 976.562
14 7 2 5468.75
15 10 14 976.562
16 7 8 5468.75
17 9 14 1757.81
18 11 14 537.109
19 8 14 3125
20 10 14 976.562
21 7 8 5468.75
22 10 14 976.562
23 12 14 292.969
24 10 14 976.562
25 12 14 292.969
26 12 14 292.969
27 9 14 1757.81
28 7 2 5468.75
29 7 2 5468.75
30 7 14 5468.75
31 9 14 1757.81
32 7 2 5468.75
33 7 2 5468.75
34 7 12 5468.75
35 7 8 5468.75
36 9 14 1757.81
37 7 6 5468.75
38 7 6 5468.75
39 7 2 5468.75
40 7 2 5468.75
41 7 6 5468.75
42 7 8 5468.75
43 7 14 5468.75
44 7 10 5468.75
45 7 14 5468.75
46 7 8 5468.75
47 7 14 5468.75
48 7 2 5468.75
49 7 2 5468.75
50 7 14 5468.75
51 7 2 5468.75
52 7 14 5468.75
53 10 14 976.562
54 7 12 5468.75
55 7 12 5468.75
56 7 8 5468.75
57 7 8 5468.75
58 7 14 5468.75
59 7 8 5468.75
