0 7 14 5468.75
1 7 2 5468.75
2 7 4 5468.75
3 7 10 5468.75
4 8 14 3125
5 12 14 292.969
6 12 14 292.969
7 7 14 5468.75
8 12 14 292.969
9 8 14 3125
10 7 2 5468.75
11 12 14 292.969
12 7 6 5468.75
13 12 14 292.969
14 7 2 5468.75
15 12 14 292.969
16 8 14 3125
17 12 14 292.969
18 12 14 292.969
19 12 14 292.969
20 7 4 5468.75
21 12 14 292.969
22 7 2 5468.75
23 7 8 5468.75
24 7 14 5468.75
25 7 14 5468.75
26 7 8 5468.75
27 8 14 3125
28 7 10 5468.75
29 7 14 5468.75
30 7 2 5468.75
31 11 14 537.109
32 7 8 5468.75
33 7 14 5468.75
34 7 14 5468.75
35 9 14 1757.81
36 7 2 5468.75
37 12 14 292.969
38 7 2 5468.75
39 7 2 5468.75
40 7 12 5468.75
41 7 6 5468.75
42 7 14 5468.75
43 7 8 5468.75
44 7 6 5468.75
45 7 2 5468.75
46 7 2 5468.75
47 7 14 5468.75
48 7 14 5468.75
49 8 14 3125
50 7 2 5468.75
51 7 2 5468.75
52 7 2 5468.75
53 7 2 5468.75
54 7 14 5468.75
55 7 2 5468.75
56 7 2 5468.75
57 7 2 5468.75
58 9 14 1757.81
59 7 2 5468.75
