0 7 14 5468.75
1 9 14 1757.81
2 12 14 292.969
3 9 14 1757.81
4 7 12 5468.75
5 8 14 3125
6 12 14 292.969
7 12 14 292.969
8 12 14 292.969
9 8 14 3125
10 11 14 537.109
11 12 14 292.969
12 12 14 292.969
13 9 14 1757.81
14 7 14 5468.75
15 8 14 3125
16 7 12 5468.75
17 9 14 1757.81
18 7 8 5468.75
19 9 14 1757.81
20 12 14 292.969
21 7 2 5468.75
22 7 2 5468.75
23 12 14 292.969
24 7 12 5468.75
25 12 14 292.969
26 12 14 292.969
27 7 14 5468.75
28 7 4 5468.75
29 9 14 1757.81
30 9 14 1757.81
31 7 2 5468.75
32 7 2 5468.75
33 7 2 5468.75
34 7 2 5468.75
35 7 12 5468.75
36 12 14 292.969
37 12 14 292.969
38 7 2 5468.75
39 7 8 5468.75
40 7 2 5468.75
41 7 2 5468.75
42 9 14 1757.81
43 7 10 5468.75
44 7 14 5468.75
45 7 2 5468.75
46 7 6 5468.75
47 7 2 5468.75
48 7 2 5468.75
49 7 2 5468.75
50 7 2 5468.75
51 12 14 292.969
52 7 2 5468.75
53 7 2 5468.75
54 9 14 1757.81
55 7 2 5468.75
56 7 2 5468.75
57 7 12 5468.75
58 7 2 5468.75
59 7 2 5468.75
