0 7 14 5468.75
1 7 14 5468.75
2 7 12 5468.75
3 7 12 5468.75
4 12 14 292.969
5 7 2 5468.75
6 8 14 3125
7 7 6 5468.75
8 7 2 5468.75
9 12 14 292.969
10 7 2 5468.75
11 12 14 292.969
12 7 2 5468.75
13 7 8 5468.75
14 7 14 5468.75
15 12 14 292.969
16 12 14 292.969
17 7 2 5468.75
18 7 2 5468.75
19 12 14 292.969
20 7 4 5468.75
21 8 14 3125
22 7 14 5468.75
23 7 14 5468.75
24 7 12 5468.75
25 7 14 5468.75
26 7 10 5468.75
27 7 14 5468.75
28 7 14 5468.75
29 12 14 292.969
30 7 10 5468.75
31 9 14 1757.81
32 7 10 5468.75
33 7 2 5468.75
34 8 14 3125
35 7 4 5468.75
36 7 8 5468.75
37 7 12 5468.75
38 7 14 5468.75
39 7 2 5468.75
40 7 2 5468.75
41 7 2 5468.75
42 7 8 5468.75
43 7 2 5468.75
44 7 14 5468.75
45 7 14 5468.75
46 8 14 3125
47 12 14 292.969
48 10 14 976.562
49 7 8 5468.75
50 7 2 5468.75
51 7 2 5468.75
52 7 2 5468.75
53 7 2 5468.75
54 8 14 3125
55 10 14 976.562
56 8 14 3125
57 9 14 1757.81
58 8 14 3125
59 7 12 5468.75
