13 60 725 203 100 5 370 47 
13 61 725 202 147 6 334 36 
13 62 725 153 70 0 485 17 
13 63 725 170 134 9 394 18 
13 64 725 141 90 0 475 19 
13 65 725 184 98 2 402 39 
13 66 725 181 88 1 409 46 
13 67 725 170 137 7 388 23 
13 68 725 150 54 0 512 9 
13 69 725 94 174 13 427 17 
13 70 725 146 66 0 503 10 
13 71 725 137 110 2 464 12 
13 72 725 119 131 3 448 24 
13 73 725 111 107 2 499 6 
13 74 725 134 112 3 468 8 
13 75 725 151 102 2 455 15 
13 76 725 130 165 12 396 22 
13 77 725 108 182 13 410 12 
13 78 725 76 179 11 449 10 
13 79 725 125 128 2 454 16 
13 80 725 143 159 10 400 13 
13 81 725 89 157 8 467 4 
13 82 725 147 131 4 426 17 
13 83 725 145 58 0 515 7 
