0 7 14
2 8 14
3 8 14
4 9 14
5 9 14
6 8 12
7 9 14
9 9 14
10 10 14
12 9 14
13 10 12
14 9 14
15 10 14
18 7 12
1 9 14
8 8 14
11 9 14
16 10 14
17 7 8
19 10 12
