3 49 1.09078 3.39274 2.30196
2 48 1.58111 3.88307 2.30196
7 48 11.3075 13.6095 2.30196
32 49 11.5686 13.8705 2.30196
11 48 11.2282 13.5302 2.30196
23 54 11.9545 14.2565 2.30196
30 55 3.28068 5.58264 2.30196
1 48 4.56431 6.86627 2.30196
31 51 4.96103 7.26298 2.30195
16 45 5.453 7.75495 2.30195
16 45 965.453 965.551 0.0975373
25 53 983.3 983.398 0.0975425
28 51 5.98493 8.28689 2.30196
12 0 5.98495 0 -5.98495
21 45 6.55206 8.85402 2.30196
30 51 965.694 965.868 0.174595
22 45 976.129 976.232 0.102657
9 44 6.93019 9.23215 2.30196
27 54 7.80027 10.1022 2.30196
36 45 7.78992 10.0919 2.30196
10 48 1159.25 1159.36 0.102664
27 54 1177.8 1177.9 0.10266
18 45 10.8766 13.1786 2.30196
38 49 8.96385 11.2658 2.30196
29 51 14.4223 16.7243 2.30195
34 50 13.7263 16.0282 2.30196
35 0 15.7615 0 -15.7615
10 44 19.2529 21.5548 2.30195
8 44 14.6533 16.9553 2.30195
22 45 16.1289 18.4309 2.30195
0 44 17.2902 19.5921 2.30196
34 50 990.383 990.711 0.328711
25 53 1103.3 1103.4 0.0975425
4 48 17.3661 19.6681 2.30196
26 54 17.6268 19.9287 2.30196
8 44 926.226 928.528 2.30195
26 54 977.627 977.729 0.102661
16 45 935.453 935.556 0.102657
37 53 22.2984 24.6004 2.30196
33 49 21.6593 23.9612 2.30196
30 51 1083.28 1083.38 0.102659
25 53 23.3003 25.6023 2.30196
5 44 23.3797 25.6817 2.30196
14 44 27.7768 30.0787 2.30196
23 54 1181.95 1182.06 0.102659
32 49 1181.57 1181.67 0.0975404
19 41 25.5174 27.8194 2.30196
15 45 24.8776 27.1796 2.30196
20 45 25.0196 27.3216 2.30195
23 54 971.955 972.052 0.0975392
16 45 1085.45 1085.55 0.0975373
28 54 1373.34 1375.65 2.30196
17 45 26.2991 28.6011 2.30195
13 48 26.4415 28.7435 2.30196
6 48 27.5959 29.8978 2.30195
20 45 1195.02 1195.12 0.0975376
1 48 1371.92 1372.11 0.184836
39 52 28.7133 31.0153 2.30196
24 54 29.3468 31.6488 2.30195
23 54 1151.95 1152.06 0.102659
33 49 249.553 251.854 2.30196
5 44 251.273 253.575 2.30196
6 48 255.489 257.791 2.30195
39 52 972.828 973.157 0.328708
26 54 473.413 475.715 2.30196
15 44 252.771 255.073 2.30196
19 45 253.411 255.713 2.30196
24 54 257.24 259.542 2.30195
25 53 251.194 253.496 2.30196
13 0 254.335 0 -254.335
39 52 256.607 258.909 2.30196
10 44 247.146 249.448 2.30195
36 45 1087.79 1087.89 0.0975417
36 46 463.576 465.878 2.30196
18 45 466.663 468.965 2.30196
8 44 470.44 472.742 2.30195
