43 60 648 70 125 0 453 0 
43 61 648 80 214 6 337 11 
43 62 648 90 212 6 336 4 
43 63 648 102 186 3 321 36 
43 64 648 72 47 0 524 5 
43 65 648 100 191 6 344 7 
43 66 648 82 223 10 322 11 
43 67 648 75 236 12 318 7 
43 68 648 125 201 6 291 25 
43 69 648 108 169 5 327 39 
43 70 648 103 58 0 483 4 
43 71 648 144 216 11 270 7 
43 72 648 88 233 12 309 6 
43 73 648 75 230 12 320 11 
43 74 648 119 191 8 289 41 
43 75 648 170 166 6 272 34 
43 76 648 81 66 0 496 5 
43 77 648 122 187 5 321 13 
43 78 648 98 215 10 309 16 
43 79 648 127 215 12 279 15 
43 80 648 158 192 6 250 42 
43 81 648 175 162 12 254 45 
43 82 648 53 47 0 548 0 
43 83 648 117 149 2 370 10 
43 84 648 117 184 3 326 18 
43 85 648 111 210 12 297 18 
43 86 648 105 214 8 307 14 
43 87 648 74 185 11 360 18 
43 88 648 81 92 1 470 4 
43 89 648 82 173 1 384 8 
43 90 648 69 168 2 396 13 
